timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685031906633,2,Login-1,200,OK,Thread Group 1-22,text,true,,5069,719,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685031906677,5,Dogs,200,OK,Thread Group 1-14,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,5,0,0
1685031906819,5,Birds,200,OK,Thread Group 1-11,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,5,0,0
1685031906822,4,Birds,200,OK,Thread Group 1-10,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,4,0,0
1685031906827,2,Home,404,Not Found,Thread Group 1-2,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,2,0,0
1685031906908,1,Home,404,Not Found,Thread Group 1-3,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,1,0,0
1685031906929,4,Reptiles,200,OK,Thread Group 1-18,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1685031907053,7,Login,200,OK,Thread Group 1-23,text,true,,5262,1693,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907053,3,Login-0,302,Found,Thread Group 1-23,,true,,193,974,25,25,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1685031907057,3,Login-1,200,OK,Thread Group 1-23,text,true,,5069,719,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907070,4,Birds,200,OK,Thread Group 1-12,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,4,0,0
1685031907076,7,Sign Out,200,OK,Thread Group 1-7,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907076,3,Sign Out-0,302,Found,Thread Group 1-7,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031907079,4,Sign Out-1,200,OK,Thread Group 1-7,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031907190,4,Dogs,200,OK,Thread Group 1-15,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,4,0,0
1685031907195,3,Reptiles,200,OK,Thread Group 1-19,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,3,0,0
1685031907305,2,Home,404,Not Found,Thread Group 1-4,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,1,0,0
1685031907460,5,Dogs,200,OK,Thread Group 1-16,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,5,0,0
1685031907475,4,Reptiles,200,OK,Thread Group 1-20,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1685031907499,7,Sign Out,200,OK,Thread Group 1-8,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907499,3,Sign Out-0,302,Found,Thread Group 1-8,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031907503,3,Sign Out-1,200,OK,Thread Group 1-8,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907656,4,Dogs,200,OK,Thread Group 1-17,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,4,0,0
1685031907798,7,Sign Out,200,OK,Thread Group 1-9,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907798,3,Sign Out-0,302,Found,Thread Group 1-9,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031907802,3,Sign Out-1,200,OK,Thread Group 1-9,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907800,7,Login,200,OK,Thread Group 1-24,text,true,,5262,1693,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907800,3,Login-0,302,Found,Thread Group 1-24,,true,,193,974,25,25,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1685031907803,4,Login-1,200,OK,Thread Group 1-24,text,true,,5069,719,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031907820,3,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031907830,1,Home,404,Not Found,Thread Group 1-5,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,1,0,0
1685031907841,4,Reptiles,200,OK,Thread Group 1-21,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1685031907897,4,Birds,200,OK,Thread Group 1-13,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,4,0,0
1685031907999,2,Home,404,Not Found,Thread Group 1-6,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,2,0,0
1685031908055,8,Login,200,OK,Thread Group 1-25,text,true,,5262,1693,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031908055,4,Login-0,302,Found,Thread Group 1-25,,true,,193,974,25,25,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1685031908060,3,Login-1,200,OK,Thread Group 1-25,text,true,,5069,719,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031908214,4,Reptiles,200,OK,Thread Group 1-22,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,4,0,0
1685031908256,5,Birds,200,OK,Thread Group 1-14,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,5,0,0
1685031908334,3,Main Catalog,200,OK,Thread Group 1-2,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031908348,3,Sign Out,200,OK,Thread Group 1-10,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031908348,1,Sign Out-0,302,Found,Thread Group 1-10,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685031908350,1,Sign Out-1,200,OK,Thread Group 1-10,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031908376,14,Sign Out,200,OK,Thread Group 1-11,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
